0_1_Knapsack_Problem,0:00:01:T,0:00:26:S,0:00:41:S,0:01:59:S,0:03:43:S,0:04:45:S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0_1_Knapsack_Problem_Revisited,0:00:01:T,0:00:25:S,0:04:16:S,0:05:55:C,0:10:13:S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3D_Computer_Graphics,0:00:01:T,0:00:34:S,0:00:44:W,0:02:18:S,0:02:29:S,0:02:44:S,0:03:02:S,0:03:16:S,0:03:30:S,0:03:35:W,0:04:20:S,0:04:42:S,0:05:17:S,0:05:46:S,0:06:23:W,0:07:27:S,0:07:29:S,0:09:14:T,0:09:40:W,0:10:27:W,0:10:40:W,0:10:59:W,0:11:07:W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amortized_Cost_Analysis_-_TA_Demo,0:00:01:S,0:00:02:S,0:00:05:S,0:00:52:S,0:01:21:S,0:01:58:S,0:03:55:S,0:04:43:W,0:08:14:S,0:09:44:S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Another_Look_At_Optimization_Problems,0:00:01:T,0:00:29:S,0:02:21:S,0:04:26:S,0:06:50:C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Approximation_Methods,0:00:01:T,0:00:12:S,0:00:18:T,0:00:50:S,0:01:34:S,0:03:44:C,0:04:03:T,0:04:15:S,0:04:33:C,0:05:45:S,0:06:07:T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Asymptotic_Notation,0:00:01:T,0:00:22:S,0:00:34:S,0:01:12:T,0:01:22:S,0:01:47:T,0:01:53:S,0:02:02:T,0:02:10:S,0:02:54:T,0:03:01:S,0:03:38:T,0:03:46:S,0:04:13:T,0:04:24:S,0:04:31:T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic_machine_architecture,0:00:01:T,0:00:09:S,0:01:01:I,0:01:07:S,0:01:16:I,0:01:21:S,0:01:51:S,0:02:59:T,0:03:15:S,0:05:33:S,0:06:11:T,0:06:31:S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basics_of_computation,0:00:01:T,0:00:24:S,0:00:33:T,0:00:48:S,0:00:57:T,0:01:18:S,0:01:31:T,0:01:40:S,0:01:48:T,0:01:51:S,0:01:59:T,0:02:20:S,0:02:27:T,0:03:07:I,0:03:16:T,0:03:29:I,0:03:31:T,0:03:33:I,0:03:38:T,0:03:43:I,0:03:51:T,0:04:10:S,0:04:17:T,0:04:22:S,0:04:33:T,0:04:50:S,0:04:57:T,0:05:12:S,0:05:24:T,0:05:27:S,0:06:00:T,0:06:09:S,0:06:14:T,0:06:24:S,0:06:32:T,0:06:43:S,0:06:49:T,0:06:53:S,0:07:20:T,0:07:25:S,0:07:37:T,0:07:40:S,0:07:45:T,0:07:54:S,0:08:03:S,0:08:29:T,0:08:38:S,0:09:01:T,0:09:05:S,0:09:12:T,0:09:23:S,0:09:38:T,,,,,,,,
Binary_Search,0:00:01:T,0:00:17:S,0:00:45:S,0:02:25:S,0:03:36:T,0:03:47:S,0:04:06:T,0:04:16:S,0:06:11:T,0:06:24:S,0:06:35:S,0:07:31:T,0:07:55:S,0:08:49:T,0:08:55:S,0:09:01:S,0:09:27:T,0:09:49:S,0:09:59:T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bisection_Search,0:00:01:T,0:00:28:S,0:01:20:T,0:01:24:S,0:01:50:T,0:01:52:S,0:02:40:T,0:02:54:S,0:04:28:T,0:04:40:C,0:05:24:T,0:05:37:C,0:05:56:T,0:06:01:C,0:06:18:T,0:06:22:S,0:06:58:T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black-box_Testing,0:00:01:T,0:00:09:S,0:00:37:T,0:00:58:S,0:01:06:T,0:01:31:S,0:02:17:T,0:02:30:S,0:03:23:S,0:05:28:T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Branching_programs,0:00:01:T,0:00:39:S,0:02:04:C,0:02:25:S,0:03:56:C,0:04:49:T,0:05:15:S,0:06:02:S,0:06:21:C,0:06:40:S,0:08:01:C,0:09:20:S,0:09:49:S,0:10:34:T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breadth-First_Search,0:00:01:T,0:00:18:S,0:01:20:S,0:02:13:S,0:02:20:T,0:02:32:S,0:02:42:S,0:03:52:S,0:04:32:T,0:04:41:S,0:06:39:T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classes_User-Defined_types,0:00:01:T,0:00:28:S,0:01:53:S,0:06:38:S,0:08:44:S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Column_Oriented_Database,0:00:25:TS,0:00:47:S,0:01:01:TS,0:01:14:S,0:01:24:TS,0:01:34:S,0:01:48:TS,0:02:10:S,0:02:27:TS,0:02:43:S,0:02:52:TS,0:03:11:S,0:03:22:TS,0:04:49:S,0:05:05:TS,0:06:11:S,0:06:32:TS,0:07:14:S,0:07:22:TS,0:08:47:S,0:09:24:TS,0:10:00:S,0:10:12:TS,0:11:19:S,0:11:31:TS,0:12:19:S,0:12:47:S,0:12:51:TS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comparing_Complexity_Classes,0:00:01:T,0:00:15:S,0:00:31:S,0:00:55:T,0:01:10:S,0:01:15:T,0:01:25:S,0:01:46:S,0:01:57:S,0:02:13:T,0:02:19:S,0:02:26:T,0:02:37:S,0:02:50:S,0:03:01:T,0:03:10:S,0:03:47:T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complexity_Classes,0:00:01:S,0:02:24:S,0:03:02:S,0:04:10:S,0:05:18:S,0:06:36:S,0:07:37:S,0:08:43:S,0:09:08:S,0:09:32:S,0:10:49:S,0:11:43:S,0:12:52:S,0:13:53:S,0:14:47:S,0:16:44:S,0:17:16:S,0:18:33:S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Computation_and_Medicine,0:00:01:TS,0:00:36:S,0:01:45:S,0:03:12:T,0:03:18:S,0:03:25:T,0:03:32:S,0:03:39:T,0:04:04:S,0:04:14:T,0:04:20:S,0:04:36:T,0:04:50:S,0:05:05:T,0:05:18:S,0:05:41:T,0:06:05:S,0:06:32:S,0:07:13:T,0:07:23:S,0:07:33:T,0:07:50:S,0:08:15:S,0:08:46:T,0:09:07:S,0:09:36:T,0:10:17:S,0:10:55:T,0:11:11:S,0:11:23:S,0:11:41:T,0:11:44:S,0:12:19:T,0:12:27:S,0:13:03:S,0:13:56:S,0:14:15:T,0:14:32:S,0:14:59:T,0:15:07:S,0:15:36:S,0:15:56:S,0:16:02:T,0:16:26:S,0:17:04:S,0:17:20:T,0:17:33:S,0:18:15:T,0:18:19:S,0:18:40:S,0:18:52:T,0:18:55:S,0:19:03:T,0:19:07:S,0:19:38:T,0:19:43:S,0:19:53:S,0:20:00:T,0:20:12:S,0:20:58:T
